iter	Passed	Remaining
428	1675	2230
429	1677	2224
430	1680	2218
431	1682	2212
432	1684	2205
433	1686	2199
434	1688	2192
435	1690	2187
436	1693	2182
437	1695	2175
438	1697	2169
439	1699	2162
440	1701	2156
441	1704	2152
442	1706	2146
443	1708	2140
444	1711	2134
445	1713	2128
446	1715	2122
447	1717	2116
448	1719	2109
449	1726	2110
450	1728	2104
451	1730	2097
452	1732	2091
453	1735	2087
454	1737	2081
455	1739	2075
456	1741	2068
457	1742	2062
458	1744	2055
459	1745	2049
460	1747	2043
461	1749	2036
462	1750	2030
463	1753	2025
464	1755	2019
465	1757	2013
466	1758	2007
467	1760	2001
468	1763	1996
469	1770	1996
470	1772	1991
471	1774	1985
472	1776	1979
473	1778	1973
474	1780	1967
475	1781	1961
476	1783	1955
477	1785	1950
478	1788	1945
479	1789	1938
480	1791	1932
481	1792	1926
482	1794	1920
483	1799	1918
484	1801	1912
485	1802	1906
486	1804	1900
487	1806	1895
488	1808	1889
489	1809	1883
490	1811	1877
491	1813	1871
492	1815	1866
493	1817	1861
494	1821	1858
495	1823	1852
496	1825	1847
497	1829	1844
498	1831	1838
499	1833	1833
500	1835	1827
501	1836	1822
502	1838	1816
503	1840	1810
504	1841	1805
505	1843	1799
506	1844	1793
507	1849	1791
508	1851	1785
509	1852	1780
510	1855	1775
511	1857	1770
512	1859	1765
513	1863	1762
514	1865	1756
515	1867	1751
516	1869	1746
517	1870	1740
518	1872	1735
519	1873	1729
520	1875	1724
521	1877	1719
522	1878	1713
523	1881	1708
524	1883	1704
525	1885	1699
526	1893	1699
527	1895	1694
528	1897	1689
529	1898	1683
530	1899	1677
531	1901	1672
532	1903	1667
533	1905	1663
534	1907	1657
535	1910	1653
536	1912	1649
537	1914	1643
538	1916	1638
539	1917	1633
540	1920	1629
541	1922	1624
542	1923	1618
543	1925	1613
544	1926	1608
545	1928	1603
546	1930	1598
547	1931	1593
548	1933	1588
549	1934	1582
550	1935	1577
551	1937	1572
552	1938	1567
553	1943	1564
554	1945	1559
555	1947	1554
556	1948	1549
557	1950	1544
558	1951	1539
559	1953	1534
560	1954	1529
561	1956	1524
562	1957	1519
563	1959	1514
564	1960	1509
565	1962	1504
566	1963	1499
567	1965	1494
568	1966	1489
569	1968	1484
570	1971	1481
571	1973	1476
572	1975	1472
573	1976	1467
574	1978	1462
575	1980	1457
576	1982	1453
577	1984	1448
578	1985	1443
579	1986	1438
580	1988	1433
581	1990	1429
582	1991	1424
583	1993	1419
584	1994	1415
585	1996	1410
586	2005	1410
587	2007	1406
588	2008	1401
589	2010	1397
590	2012	1392
591	2014	1388
592	2015	1383
593	2017	1379
594	2019	1374
595	2020	1369
596	2022	1365
597	2024	1360
598	2025	1356
599	2027	1351
600	2031	1349
601	2034	1345
602	2035	1340
603	2037	1336
604	2040	1332
605	2043	1328
606	2044	1323
607	2046	1319
608	2047	1314
609	2049	1310
610	2050	1305
611	2052	1301
612	2053	1296
613	2056	1292
614	2058	1288
615	2060	1284
616	2064	1281
617	2065	1277
618	2067	1272
619	2069	1268
620	2071	1264
621	2073	1260
622	2075	1255
623	2076	1251
624	2078	1247
625	2080	1243
626	2081	1238
627	2083	1234
628	2084	1229
629	2087	1226
630	2095	1225
631	2097	1221
632	2099	1216
633	2100	1212
634	2101	1208
635	2103	1204
636	2112	1203
637	2114	1199
638	2116	1195
639	2118	1191
640	2123	1189
641	2125	1185
642	2126	1180
643	2128	1176
644	2129	1172
645	2131	1167
646	2133	1163
647	2134	1159
648	2136	1155
649	2137	1151
650	2139	1146
651	2140	1142
652	2142	1138
653	2144	1134
654	2149	1132
655	2153	1129
656	2155	1125
657	2157	1121
658	2159	1117
659	2161	1113
660	2162	1109
661	2164	1105
662	2165	1100
663	2167	1096
664	2168	1092
665	2169	1088
666	2172	1084
667	2175	1081
668	2177	1077
669	2179	1073
670	2181	1069
671	2183	1065
672	2185	1061
673	2187	1057
674	2188	1053
675	2191	1050
676	2193	1046
677	2194	1042
678	2196	1038
679	2197	1034
680	2198	1030
681	2200	1025
682	2203	1022
683	2206	1019
684	2207	1015
685	2209	1011
686	2210	1007
687	2212	1003
688	2213	999
689	2216	996
690	2218	991
691	2219	987
692	2220	983
693	2222	979
694	2223	975
695	2225	972
696	2227	968
697	2228	964
698	2231	960
699	2233	957
700	2235	953
701	2236	949
702	2237	945
703	2239	941
704	2240	937
705	2242	933
706	2243	929
707	2245	926
708	2246	922
709	2248	918
710	2249	914
711	2250	910
712	2252	906
713	2253	902
714	2254	898
715	2257	895
716	2259	891
717	2261	888
718	2262	884
719	2265	881
720	2267	877
721	2268	873
722	2270	869
723	2271	866
724	2273	862
725	2274	858
726	2276	854
727	2277	851
728	2279	847
729	2280	843
730	2281	839
731	2283	836
732	2285	832
733	2288	829
734	2292	826
735	2298	824
736	2300	820
737	2302	817
738	2306	814
739	2310	811
740	2311	808
741	2313	804
742	2315	800
743	2316	797
744	2318	793
745	2321	790
746	2323	786
747	2324	783
748	2326	779
749	2328	776
750	2330	772
751	2332	769
752	2333	765
753	2335	762
754	2337	758
755	2339	755
756	2341	751
757	2342	747
758	2344	744
759	2345	740
760	2347	737
761	2351	734
762	2353	730
763	2355	727
764	2357	724
765	2359	720
766	2360	717
767	2362	713
768	2363	710
769	2368	707
770	2371	704
771	2373	700
772	2374	697
773	2376	693
774	2379	690
775	2381	687
776	2383	683
777	2384	680
778	2386	677
779	2388	673
780	2389	670
781	2391	666
782	2393	663
783	2394	659
784	2396	656
785	2399	653
786	2401	649
787	2402	646
788	2403	642
789	2405	639
790	2407	635
791	2410	633
792	2412	629
793	2414	626
794	2416	623
795	2418	619
796	2420	616
797	2421	613
798	2424	609
799	2426	606
800	2428	603
801	2430	600
802	2433	596
803	2434	593
804	2436	590
805	2439	587
806	2442	584
807	2444	580
808	2445	577
809	2447	574
810	2449	570
811	2451	567
812	2453	564
813	2454	560
814	2456	557
815	2458	554
816	2461	551
817	2463	548
818	2465	544
819	2466	541
820	2468	538
821	2472	535
822	2474	532
823	2476	528
824	2478	525
825	2480	522
826	2481	519
827	2483	515
828	2484	512
829	2486	509
830	2488	505
831	2490	502
832	2491	499
833	2494	496
834	2497	493
835	2499	490
836	2502	487
837	2503	484
838	2505	480
839	2507	477
840	2508	474
841	2510	471
842	2511	467
843	2513	464
844	2514	461
845	2515	457
846	2517	454
847	2519	451
848	2522	448
849	2523	445
850	2525	442
851	2527	439
852	2529	435
853	2532	432
854	2534	429
855	2536	426
856	2537	423
857	2538	420
858	2540	416
859	2541	413
860	2542	410
861	2544	407
862	2545	404
863	2547	400
864	2549	397
865	2550	394
866	2552	391
867	2554	388
868	2556	385
869	2558	382
870	2562	379
871	2564	376
872	2565	373
873	2567	370
874	2568	366
875	2569	363
876	2571	360
877	2572	357
878	2573	354
879	2575	351
880	2576	348
881	2578	344
882	2579	341
883	2582	338
884	2584	335
885	2586	332
886	2588	329
887	2590	326
888	2592	323
889	2594	320
890	2595	317
891	2597	314
892	2599	311
893	2600	308
894	2601	305
895	2603	302
896	2605	299
897	2607	296
898	2608	293
899	2610	290
900	2612	287
901	2615	284
902	2617	281
903	2619	278
904	2621	275
905	2623	272
906	2624	269
907	2626	266
908	2627	263
909	2629	260
910	2631	257
911	2632	254
912	2634	251
913	2636	248
914	2637	245
915	2639	242
916	2643	239
917	2647	236
918	2649	233
919	2651	230
920	2653	227
921	2655	224
922	2657	221
923	2659	218
924	2661	215
925	2663	212
926	2665	209
927	2667	206
928	2671	204
929	2678	201
930	2681	198
931	2684	195
932	2686	192
933	2688	189
934	2689	186
935	2691	184
936	2692	181
937	2694	178
938	2696	175
939	2698	172
940	2699	169
941	2702	166
942	2705	163
943	2709	160
944	2712	157
945	2714	154
946	2717	152
947	2718	149
948	2720	146
949	2722	143
950	2723	140
951	2725	137
952	2726	134
953	2730	131
954	2732	128
955	2734	125
956	2736	122
957	2738	120
958	2740	117
959	2742	114
960	2745	111
961	2748	108
962	2759	106
963	2761	103
964	2762	100
965	2764	97
966	2766	94
967	2768	91
968	2769	88
969	2771	85
970	2774	82
971	2775	79
972	2777	77
973	2779	74
974	2781	71
975	2783	68
976	2785	65
977	2786	62
978	2788	59
979	2792	56
980	2796	54
981	2798	51
982	2800	48
983	2801	45
984	2803	42
985	2805	39
986	2810	37
987	2813	34
988	2816	31
989	2817	28
990	2819	25
991	2820	22
992	2822	19
993	2823	17
994	2825	14
995	2827	11
996	2829	8
997	2830	5
998	2832	2
999	2833	0
